name,date_of_birth,height,weight,spike,block,position_number,country
Anna Malova,16/04/1990,175,59,286,290,6,23
Anastasia Shlyakhovaya,05/10/1990,192,69,313,307,3,23
Bianka Busa,25/07/1994,187,74,293,282,2,24
Jovana Brakocevic,05/03/1988,196,82,309,295,4,24
Bojana Zivkovic,29/03/1988,186,72,300,292,1,24
Tijana Malesevic,18/03/1991,185,78,300,286,2,24
Brankica Mihajlovic,13/04/1991,190,83,302,290,2,24
Maja Ognjenovic,06/08/1984,183,67,300,293,1,24
Stefana Veljkovic,09/01/1990,190,76,320,305,3,24
Jelena Nikolic,13/04/1982,194,79,315,300,2,24
Jovana Stevanovic,30/06/1992,192,72,308,295,3,24
Milena Rasic,25/10/1990,191,72,315,310,3,24
Silvija Popovic,15/03/1986,178,65,286,276,6,24
Tijana Boškovic,08/03/1997,193,82,310,300,4,24
Alisha Glass,05/04/1988,184,72,305,300,1,27
Kayla Banwarth,21/01/1989,178,75,295,283,6,27
Courtney Thompson,04/11/1984,170,66,276,263,1,27
Rachael Adams,03/06/1990,188,81,318,307,3,27
Carli Lloyd,06/08/1989,180,75,313,295,1,27
Jordan Larson,16/10/1986,188,75,302,295,2,27
Kelly Murphy,20/10/1989,188,79,315,307,4,27
Christa Harmotto Dietzen,12/10/1986,188,79,322,300,3,27
Kimberly Hill,30/11/1989,193,72,320,310,2,27
Foluke Akinradewo,05/10/1987,191,79,331,300,3,27
Kelsey Robinson,25/06/1992,188,75,306,300,2,27
Karsta Lowe,02/02/1993,193,75,315,305,4,27
