name,date_of_birth,height,weight,spike,block,position_number,country,age
Maria Agostina Pelozo,19/11/1999,180,56,277,263,6,2,21
Fiamma Arabela Biain,30/01/1998,171,67,279,266,2,2,22
Lianny Tamayo Canton,30/04/1999,178,58,295,290,6,31,21
Elizabeth Vicet Campos,09/08/2000,173,63,293,284,2,31,20
Ivy May Vila Wittingham,22/07/2001,181,78,235,232,4,31,19
Ai Kurogo,14/06/1998,180,69,306,295,2,16,22
Shiori Aratani,22/09/1998,173,61,296,281,3,16,22
Tamaki Matsui,10/01/1998,171,63,280,265,1,16,22
Erina Ogawa,03/06/1998,178,61,295,280,3,16,22
Yuki Hyodo,19/10/1998,174,63,292,283,2,16,22
Shuri Yamaguchi,02/09/1998,175,69,292,280,3,16,22
Miku Shimada,11/10/1998,174,62,290,285,3,16,22
Miyuki Horie,12/10/1998,173,62,295,280,2,16,22
Saki Kamata,06/01/1999,165,59,275,250,1,16,21
Reina Tokoku,28/04/1999,176,65,303,287,2,16,21
Miiku Iwasawa,13/10/1999,162,52,270,260,6,16,21
Miyu Nakagawa,08/01/2000,182,65,293,280,2,16,20
Diana Duarte Alecrim,22/02/1999,194,69,297,287,3,10,21
Lorena Giovana Viezel,21/07/1999,190,76,309,290,3,10,21
Glayce Kelly Tobias Vasconcelos,28/01/1998,189,73,296,281,2,10,22
Nyeme Victória Alexandre Costa,11/10/1998,175,79,297,280,6,10,22
Amanda Rodrigues Sehn,16/07/1998,180,64,280,270,1,10,22
Karyna Malachias,26/10/1999,194,84,305,294,3,10,21
Karina Barbosa De Souza,30/11/1998,182,65,294,276,2,10,22
Jackeline Moreno Figueiredo Dos Santos,30/12/1999,174,67,286,271,1,10,21
Julia Isabelle Bergmann,21/02/2001,196,78,301,289,2,10,19
Tainara Lemes Santos,09/03/2000,190,81,306,289,4,10,20
Lorrayna Da Silva,19/06/1999,185,62,306,286,4,10,21
Julia Araujo Almeida Holanda Moura,21/01/1998,181,68,286,276,2,10,22
Ani Bozdeva,30/01/1999,186,61,300,290,2,9,21
Borislava Saykova,14/07/2000,187,80,294,274,3,9,20
Kathryn Dimitrova,27/11/1999,190,73,303,296,4,9,21
Aleksandra Milanova,04/07/2001,180,72,295,284,2,9,19
Elena Becheva,30/05/1998,185,70,296,288,4,9,22
Vasilena Papanova,02/02/1999,179,62,295,289,1,9,21
Velina Minkova,02/03/1998,173,63,270,260,6,9,22
Djanis Saraivanova,20/08/1999,186,71,293,280,3,9,21
Emileta Racheva,26/11/1998,183,75,288,275,3,9,22
Mihaela Mihaylova,22/05/1999,169,57,270,260,6,9,21
Hanyu Yang,12/10/1999,192,72,317,311,3,5,21
Yaqian Cai,29/06/1998,179,69,315,308,1,5,22
Yuqian Zhang,18/08/1998,185,72,302,294,3,5,22
Xing Xie,28/11/1998,184,68,271,265,3,5,22
Ruige Guan,25/10/1998,188,71,311,303,3,5,22
Qianqian Zang,14/08/1998,174,60,271,265,6,5,22
Han Wu,23/04/1998,183,64,294,284,2,5,22
Jing Fang,27/07/1999,177,67,297,291,6,5,21
Xiaoting Xu,21/01/1998,183,72,308,300,1,5,22
Jiayuan Liu,09/05/1998,181,80,281,276,2,5,22
Nadin Zaatar,25/08/1999,179,69,282,274,2,29,21
Nada Meawad,12/04/1998,180,71,277,267,2,29,22
Youmna Sabik,21/08/1998,163,51,262,251,6,29,22
Mayar Mohamed,05/02/2000,184,75,288,276,3,29,20
Noura Moawad,12/04/1998,182,80,280,271,4,29,22
Aliaa Helal,01/01/2000,181,71,279,270,4,29,20
