name,date_of_birth,age,height,weight,spike,block,age_in_2018
Gabriella Supersad,07/01/2000,20,160,59,205.0,200,18
Micha Hancock,10/11/1992,28,180,75,305.0,297,26
Carli Lloyd,06/08/1989,31,180,75,313.0,295,29
Rachael Adams,03/06/1990,30,188,79,318.0,307,28
Tetori Dixon,04/08/1992,28,191,83,306.0,295,26
Lauren Carlini,28/02/1995,25,185,75,302.0,295,23
Lauren Gibbemeyer,08/09/1988,32,187,71,307.0,293,30
Madison Kingdon Rishel,20/04/1993,27,183,75,307.0,298,25
Jordan Larson,16/10/1986,34,188,75,302.0,295,32
Andrea Drews,25/12/1993,27,191,77,316.0,312,25
Kelly Murphy,20/10/1989,31,188,79,315.0,307,29
Sarah Wilhite,30/07/1995,25,185,75,305.0,300,23
Michelle Bartsch-Hackley,12/02/1990,30,190,78,305.0,296,28
Kimberly Hill,30/11/1989,31,193,72,320.0,310,29
Foluke Akinradewo,05/10/1987,33,191,79,331.0,300,31
Megan Courtney,27/10/1993,27,185,61,314.0,300,25
Hannah Tapp,21/06/1995,25,191,77,297.0,290,23
Amanda Benson,09/03/1995,25,169,63,265.0,257,23
Simone Lee,07/10/1996,24,186,70,310.0,305,22
Haleigh Washington,22/09/1995,25,190,82,307.0,295,23
Kelsey Robinson,25/06/1992,28,188,73,307.0,298,26
Karsta Lowe,02/02/1993,27,194,75,315.0,305,25
Chiaka Ogbogu,15/04/1995,25,188,73,318.0,307,23
Gabriella Souza,14/12/1993,27,175,69,296.0,273,25
Mara Ferreira Leao,26/07/1991,29,190,84,320.0,301,27
Danielle Lins,05/01/1985,35,181,68,290.0,276,33
Ana Carolina Da Silva,08/04/1991,29,183,73,290.0,290,27
Adenizia Da Silva,18/12/1986,34,185,63,312.0,290,32
Thaisa Daher De Menezes,15/05/1987,33,196,79,316.0,301,31
Rosamaria Montibeller,09/04/1994,26,185,76,291.0,285,24
Fernanda Tomé,10/12/1989,31,195,78,295.0,291,29
Roberta Silva Ratzke,28/04/1990,30,185,71,287.0,278,28
Gabriela Braga Guimaraes,19/05/1994,26,180,65,305.0,289,24
Claudia Bueno Da Silva,21/09/1987,33,181,80,290.0,266,31
Natalia Pereira,04/04/1989,31,186,83,311.0,295,29
Amanda Francisco,16/08/1988,32,180,62,304.0,286,30
Drussyla Costa,01/07/1996,24,182,73,304.0,286,22
Monique Marinho Pavao,31/10/1986,34,178,67,294.0,285,32
Fernanda Rodrigues,10/05/1986,34,179,74,308.0,288,32
Suelen Pinto,04/10/1987,33,166,81,256.0,238,31
Natália Araujo,10/04/1997,23,162,59,228.0,215,21
Tandara Caixeta,30/10/1988,32,184,87,305.0,297,30
Ana Beatriz Correa,07/02/1992,28,187,70,298.0,292,26
Mariana Costa,30/07/1986,34,181,73,295.0,283,32
Macris Fernanda Silva Carneiro,03/03/1989,31,178,64,292.0,275,29
Annerys Victoria Vargas Valdez,07/08/1981,39,196,70,327.0,320,37
Lisvel Elisa Eve Mejia,10/09/1991,29,194,70,325.0,315,27
Marianne Fersola Norberto,16/01/1992,28,191,60,315.0,310,26
Brenda Castillo,05/06/1992,28,167,55,245.0,230,26
Camil Inmaculada Dominguez Martinez,07/12/1991,29,176,75,285.0,270,27
Niverka Dharlenis Marte Frica,19/10/1990,30,178,71,295.0,283,28
Candida Estefany Arias Perez,11/03/1992,28,194,68,320.0,315,26
Natalia Martinez,25/11/2000,20,186,71,310.0,300,18
Marifranchi Rodriguez,29/08/1990,30,184,68,310.0,300,28
