name,date_of_birth,height,weight,spike,block,position_number,country
Anisa Yotpinit,23/06/1998,162,58,245,265,6,34
Chutimon Sagon,02/10/1998,169,53,269,253,4,34
Wipawee Srithong,28/01/1999,174,65,288,266,2,34
Hathairat Jarat,09/02/1996,182,65,286,277,3,34
Tichakorn Boonlert,22/03/2001,180,78,294,283,3,34
Patcharaporn Sittisad,20/02/1996,165,52,278,263,2,34
Usa Daowern,26/01/2000,180,72,304,285,2,34
Thanacha Sooksod,26/05/2000,180,70,283,275,2,34
Watchareeya Nuanjam,22/07/1996,177,64,292,279,3,34
Natthanicha Jaisaen,21/05/1998,171,55,283,276,1,34
Parinya Pankaew,27/12/1995,170,59,281,269,1,34
Tichaya Boonlert,14/02/1997,179,64,293,284,1,34
Tugba Senoglu,02/02/1998,184,64,275,270,2,26
Beyza Arici,27/07/1995,192,82,302,293,3,26
Ayca Aykac,27/02/1996,176,54,280,279,6,26
Asli Kalac,13/12/1995,183,73,310,300,3,26
Ezgi Dilik,12/06/1995,170,60,282,287,1,26
Bihter Dumanoğlu,03/02/1995,170,70,279,275,2,26
Hande Baladin,01/09/1997,189,71,310,300,2,26
Saliha Sahin,05/11/1998,185,62,282,275,2,26
Nursevil Aydinlar,28/11/1995,187,64,293,285,1,26
Zehra Gunes,07/07/1999,194,82,309,255,3,26
Ebrar Karakurt,17/01/2000,194,72,307,305,2,26
