name,link,date_of_birth,age,height,weight,spike,block,age_in_2018
Ivelina Monova,/en/competition/teams/bul-bulgaria/players/ivelina-monova?id=68909,17/01/1986,34,173,58,285.0,280,32
Zhana Todorova,/en/competition/teams/bul-bulgaria/players/zhana-todorova?id=68915,06/01/1997,23,170,56,271.0,255,21
Elitsa Vasileva,/en/competition/teams/bul-bulgaria/players/elitsa-vasileva?id=69038,13/05/1990,30,190,73,302.0,290,28
Silvana Chausheva,/en/competition/teams/bul-bulgaria/players/silvana-chausheva?id=68901,19/05/1995,25,188,75,305.0,290,23
Kristina Guncheva,/en/competition/teams/bul-bulgaria/players/kristina-guncheva?id=68905,24/03/1994,26,178,61,282.0,271,24
Vangeliya Rachkovska,/en/competition/teams/bul-bulgaria/players/vangeliya-rachkovska?id=68912,19/07/1997,23,185,67,296.0,281,21
Jessica Niles,/en/competition/teams/can-canada/players/jessica-niles?id=68950,14/07/1993,27,176,61,287.0,278,25
Autumn Bailey,/en/competition/teams/can-canada/players/autumn-bailey?id=68938,02/06/1995,25,178,80,300.0,280,23
Kyla Richey,/en/competition/teams/can-canada/players/kyla-richey?id=68952,20/06/1989,31,188,83,309.0,292,29
Danielle Smith,/en/competition/teams/can-canada/players/danielle-smith?id=68954,29/04/1990,30,178,68,291.0,277,28
Alissa Coulter,/en/competition/teams/can-canada/players/alissa-coulter?id=68943,27/10/1993,27,184,74,301.0,288,25
Brianna Beamish,/en/competition/teams/can-canada/players/brianna-beamish?id=68939,04/09/1993,27,179,71,300.0,286,25
Alicia Ogoms,/en/competition/teams/can-canada/players/alicia-ogoms?id=68951,02/04/1994,26,194,82,315.0,305,24
Alexa Gray,/en/competition/teams/can-canada/players/alexa-gray?id=68958,07/08/1994,26,185,75,323.0,215,24
Anna Feore,/en/competition/teams/can-canada/players/anna-feore?id=68946,23/11/1996,24,175,63,299.0,290,22
Jennifer Cross,/en/competition/teams/can-canada/players/jennifer-cross?id=68944,04/07/1992,28,195,81,315.0,296,26
