name,link,date_of_birth,age,height,weight,spike,block,age_in_2018
Daria Talysheva,/en/competition/teams/rus-russia/players/daria-talysheva?id=69309,16/10/1991,29,182,67,295.0,288,27
Ekaterina Efimova,/en/competition/teams/rus-russia/players/ekaterina-efimova?id=69290,03/07/1993,27,192,70,305.0,295,25
Natalia Krotkova,/en/competition/teams/rus-russia/players/natalia-krotkova?id=69297,01/07/1992,28,185,65,305.0,295,26
Iuliia Kutiukova,/en/competition/teams/rus-russia/players/iuliia-kutiukova?id=69299,30/03/1989,31,183,74,296.0,299,29
Irina Koroleva,/en/competition/teams/rus-russia/players/irina-koroleva?id=69295,04/10/1991,29,196,78,305.0,290,27
Tatiana Romanova,/en/competition/teams/rus-russia/players/tatiana-romanova?id=69304,09/09/1994,26,180,69,290.0,275,24
Nataliya Goncharova,/en/competition/teams/rus-russia/players/nataliya-goncharova?id=69293,01/06/1989,31,194,75,315.0,306,29
Alla Galkina,/en/competition/teams/rus-russia/players/alla-galkina?id=69292,15/04/1992,28,178,65,295.0,290,26
Ekaterina Pankova,/en/competition/teams/rus-russia/players/ekaterina-pankova?id=69368,02/02/1990,30,178,64,290.0,285,28
Ekaterina Lyubushkina,/en/competition/teams/rus-russia/players/ekaterina-lyubushkina?id=69301,02/01/1990,30,188,81,300.0,285,28
Daria Ryseva,/en/competition/teams/rus-russia/players/daria-ryseva?id=69305,05/03/1998,22,175,69,282.0,266,20
Evgeniya Startseva,/en/competition/teams/rus-russia/players/evgeniya-startseva?id=69308,12/02/1989,31,185,68,294.0,290,29
Irina Fetisova,/en/competition/teams/rus-russia/players/irina-fetisova?id=69291,07/09/1994,26,190,76,307.0,286,24
Irina Voronkova,/en/competition/teams/rus-russia/players/irina-voronkova?id=69310,20/10/1995,25,190,84,305.0,290,23
Natalia Malykh,/en/competition/teams/rus-russia/players/natalia-malykh?id=69302,08/12/1993,27,187,65,308.0,297,25
Kseniia Parubets,/en/competition/teams/rus-russia/players/kseniia-parubets?id=69303,31/10/1994,26,183,64,300.0,286,24
Olga Biryukova,/en/competition/teams/rus-russia/players/olga-biryukova?id=69289,19/09/1994,26,193,74,300.0,283,24
Daria Malygina,/en/competition/teams/rus-russia/players/daria-malygina?id=69344,04/04/1994,26,202,82,317.0,305,24
Anna Kotikova,/en/competition/teams/rus-russia/players/anna-kotikova?id=69296,13/10/1999,21,185,71,306.0,300,19
Angelina Lazarenko,/en/competition/teams/rus-russia/players/angelina-lazarenko?id=69300,13/04/1998,22,193,80,320.0,305,20
Ekaterina Ulanova,/en/competition/teams/rus-russia/players/ekaterina-ulanova?id=69345,05/08/1986,34,172,61,298.0,290,32
Wipawee Srithong,/en/competition/teams/tha-thailand/players/wipawee-srithong?id=69263,28/01/1999,21,174,65,288.0,266,19
Piyanut Pannoy,/en/competition/teams/tha-thailand/players/piyanut-pannoy?id=69260,10/11/1989,31,171,62,280.0,275,29
Pornpun Guedpard,/en/competition/teams/tha-thailand/players/pornpun-guedpard?id=69249,05/05/1993,27,170,63,288.0,279,25
Thatdao Nuekjang,/en/competition/teams/tha-thailand/players/thatdao-nuekjang?id=69258,03/02/1994,26,184,72,308.0,296,24
Pleumjit Thinkaow,/en/competition/teams/tha-thailand/players/pleumjit-thinkaow?id=69264,09/11/1983,37,180,67,303.0,283,35
Onuma Sittirak,/en/competition/teams/tha-thailand/players/onuma-sittirak?id=69261,13/06/1986,34,175,72,304.0,285,32
Hattaya Bamrungsuk,/en/competition/teams/tha-thailand/players/hattaya-bamrungsuk?id=69245,12/08/1993,27,180,71,292.0,282,25
Watchareeya Nuanjam,/en/competition/teams/tha-thailand/players/watchareeya-nuanjam?id=69257,22/07/1996,24,177,64,292.0,279,22
Jarasporn Bundasak,/en/competition/teams/tha-thailand/players/jarasporn-bundasak?id=69247,01/03/1993,27,181,65,291.0,283,25
Wilavan Apinyapong,/en/competition/teams/tha-thailand/players/wilavan-apinyapong?id=69244,06/06/1984,36,174,70,294.0,282,34
Wanitchaya Luangtonglang,/en/competition/teams/tha-thailand/players/wanitchaya-luangtonglang?id=69255,08/10/1992,28,177,60,300.0,275,26
Tapaphaipun Chaisri,/en/competition/teams/tha-thailand/players/tapaphaipun-chaisri?id=69248,29/11/1989,31,168,70,295.0,276,29
Nootsara Tomkom,/en/competition/teams/tha-thailand/players/nootsara-tomkom?id=69265,07/07/1985,35,169,57,289.0,278,33
Chitaporn Kamlangmak,/en/competition/teams/tha-thailand/players/chitaporn-kamlangmak?id=69251,17/03/1996,24,184,74,290.0,282,22
Malika Kanthong,/en/competition/teams/tha-thailand/players/malika-kanthong?id=69252,08/01/1987,33,178,65,292.0,278,31
Pimpichaya Kokram,/en/competition/teams/tha-thailand/players/pimpichaya-kokram?id=69253,16/06/1998,22,178,62,293.0,283,20
Tichaya Boonlert,/en/competition/teams/tha-thailand/players/tichaya-boonlert?id=69246,14/02/1997,23,179,64,293.0,284,21
Ajcharaporn Kongyot,/en/competition/teams/tha-thailand/players/ajcharaporn-kongyot?id=69254,18/06/1995,25,178,65,298.0,287,23
Chatchu-On Moksri,/en/competition/teams/tha-thailand/players/chatchu-on-moksri?id=69256,06/11/1999,21,178,58,298.0,290,19
Supattra Pairoj,/en/competition/teams/tha-thailand/players/supattra-pairoj?id=69259,27/06/1990,30,160,58,275.0,265,28
Thanacha Sooksod,/en/competition/teams/tha-thailand/players/thanacha-sooksod?id=69262,26/05/2000,20,180,70,283.0,275,18
Hathairat Jarat,/en/competition/teams/tha-thailand/players/hathairat-jarat?id=69250,09/02/1996,24,182,65,286.0,277,22
Hannah Floyd,/en/competition/teams/tto-trinidad%20%20tobago/players/hannah-floyd?id=68793,26/04/1997,23,183,58,309.0,304,21
Jalicia Ross,/en/competition/teams/tto-trinidad%20%20tobago/players/jalicia-ross?id=65479,26/07/1984,36,185,72,308.0,270,34
Channon Thompson,/en/competition/teams/tto-trinidad%20%20tobago/players/channon-thompson?id=65483,29/03/1994,26,181,72,289.0,277,24
Kelly-Anne Billingy,/en/competition/teams/tto-trinidad%20%20tobago/players/kelly-anne-billingy?id=65463,15/05/1986,34,190,87,316.0,303,32
Delicia Pierre,/en/competition/teams/tto-trinidad%20%20tobago/players/delicia-pierre?id=65477,11/10/1991,29,180,79,301.0,285,27
Sinead Jack,/en/competition/teams/tto-trinidad%20%20tobago/players/sinead-jack?id=65472,08/11/1993,27,198,82,310.0,304,25
Kiune Fletcher,/en/competition/teams/tto-trinidad%20%20tobago/players/kiune-fletcher?id=65468,14/05/2002,18,181,64,300.0,265,16
Darlene Ramdin,/en/competition/teams/tto-trinidad%20%20tobago/players/darlene-ramdin?id=65478,05/08/1989,31,187,89,286.0,281,29
Taija Thomas,/en/competition/teams/tto-trinidad%20%20tobago/players/taija-thomas?id=65482,24/10/1996,24,183,66,315.0,280,22
Afesha Olton,/en/competition/teams/tto-trinidad%20%20tobago/players/afesha-olton?id=65476,22/05/1992,28,165,60,200.0,185,26
Renele Forde,/en/competition/teams/tto-trinidad%20%20tobago/players/renele-forde?id=65470,06/08/1990,30,190,82,304.0,295,28
Mikela Mc Gillvery,/en/competition/teams/tto-trinidad%20%20tobago/players/mikela-mc-gillvery?id=65474,16/11/1999,21,192,88,260.0,250,19
Rejeanne Wallace,/en/competition/teams/tto-trinidad%20%20tobago/players/rejeanne-wallace?id=68794,14/05/1996,24,176,76,307.0,301,22
Latisha Morain,/en/competition/teams/tto-trinidad%20%20tobago/players/latisha-morain?id=65475,28/06/1997,23,165,65,185.0,175,21
Krystle Esdelle,/en/competition/teams/tto-trinidad%20%20tobago/players/krystle-esdelle?id=65467,01/08/1984,36,186,67,329.0,299,34
Shakeema Lake,/en/competition/teams/tto-trinidad%20%20tobago/players/shakeema-lake?id=65473,25/08/2000,20,180,70,304.0,290,18
Alexis Aaliyah,/en/competition/teams/tto-trinidad%20%20tobago/players/alexis-aaliyah?id=65460,20/08/1999,21,181,68,286.0,273,19
Afiya Alexander,/en/competition/teams/tto-trinidad%20%20tobago/players/afiya-alexander?id=65461,15/04/2001,19,177,59,220.0,210,17
Rayquelle Dickson,/en/competition/teams/tto-trinidad%20%20tobago/players/rayquelle-dickson?id=66431,22/10/2001,19,161,56,272.0,270,17
Gabriella Supersad,/en/competition/teams/tto-trinidad%20%20tobago/players/gabriella-supersad?id=65481,07/01/2000,20,160,59,205.0,200,18
Micha Hancock,/en/competition/teams/usa-usa/players/micha-hancock?id=67610,10/11/1992,28,180,75,305.0,297,26
Carli Lloyd,/en/competition/teams/usa-usa/players/carli-lloyd?id=67613,06/08/1989,31,180,75,313.0,295,29
Rachael Adams,/en/competition/teams/usa-usa/players/rachael-adams?id=67604,03/06/1990,30,188,79,318.0,307,28
Tetori Dixon,/en/competition/teams/usa-usa/players/tetori-dixon?id=67607,04/08/1992,28,191,83,306.0,295,26
Lauren Carlini,/en/competition/teams/usa-usa/players/lauren-carlini?id=69040,28/02/1995,25,185,75,302.0,295,23
Lauren Gibbemeyer,/en/competition/teams/usa-usa/players/lauren-gibbemeyer?id=67609,08/09/1988,32,187,71,307.0,293,30
Madison Kingdon Rishel,/en/competition/teams/usa-usa/players/madison-kingdon-rishel?id=67615,20/04/1993,27,183,75,307.0,298,25
Jordan Larson,/en/competition/teams/usa-usa/players/jordan-larson?id=67612,16/10/1986,34,188,75,302.0,295,32
Andrea Drews,/en/competition/teams/usa-usa/players/andrea-drews?id=67608,25/12/1993,27,191,77,316.0,312,25
Kelly Murphy,/en/competition/teams/usa-usa/players/kelly-murphy?id=67614,20/10/1989,31,188,79,315.0,307,29
Sarah Wilhite,/en/competition/teams/usa-usa/players/sarah-wilhite?id=68461,30/07/1995,25,185,75,305.0,300,23
Michelle Bartsch-Hackley,/en/competition/teams/usa-usa/players/michelle-bartsch-hackley?id=67606,12/02/1990,30,190,78,305.0,296,28
Kimberly Hill,/en/competition/teams/usa-usa/players/kimberly-hill?id=67611,30/11/1989,31,193,72,320.0,310,29
Foluke Akinradewo,/en/competition/teams/usa-usa/players/foluke-akinradewo?id=67605,05/10/1987,33,191,79,331.0,300,31
Megan Courtney,/en/competition/teams/usa-usa/players/megan-courtney?id=68459,27/10/1993,27,185,61,314.0,300,25
Hannah Tapp,/en/competition/teams/usa-usa/players/hannah-tapp?id=69043,21/06/1995,25,191,77,297.0,290,23
Amanda Benson,/en/competition/teams/usa-usa/players/amanda-benson?id=69045,09/03/1995,25,169,63,265.0,257,23
Simone Lee,/en/competition/teams/usa-usa/players/simone-lee?id=69041,07/10/1996,24,186,70,310.0,305,22
Haleigh Washington,/en/competition/teams/usa-usa/players/haleigh-washington?id=69044,22/09/1995,25,190,82,307.0,295,23
Kelsey Robinson,/en/competition/teams/usa-usa/players/kelsey-robinson?id=67616,25/06/1992,28,188,73,307.0,298,26
Karsta Lowe,/en/competition/teams/usa-usa/players/karsta-lowe?id=68460,02/02/1993,27,194,75,315.0,305,25
Chiaka Ogbogu,/en/competition/teams/usa-usa/players/chiaka-ogbogu?id=69042,15/04/1995,25,188,73,318.0,307,23
Gabriella Souza,/en/competition/teams/bra-brazil/players/gabriella-souza?id=69451,14/12/1993,27,175,69,296.0,273,25
Mara Ferreira Leao,/en/competition/teams/bra-brazil/players/mara-ferreira-leao?id=69443,26/07/1991,29,190,84,320.0,301,27
Danielle Lins,/en/competition/teams/bra-brazil/players/danielle-lins?id=69444,05/01/1985,35,181,68,290.0,276,33
Ana Carolina Da Silva,/en/competition/teams/bra-brazil/players/ana-carolina-da-silva?id=69433,08/04/1991,29,183,73,290.0,290,27
Adenizia Da Silva,/en/competition/teams/bra-brazil/players/adenizia-da-silva?id=69448,18/12/1986,34,185,63,312.0,290,32
Thaisa Daher De Menezes,/en/competition/teams/bra-brazil/players/thaisa-daher-de-menezes?id=69442,15/05/1987,33,196,79,316.0,301,31
Rosamaria Montibeller,/en/competition/teams/bra-brazil/players/rosamaria-montibeller?id=69435,09/04/1994,26,185,76,291.0,285,24
Fernanda Tomé,/en/competition/teams/bra-brazil/players/fernanda-tom%c3%a9?id=69447,10/12/1989,31,195,78,295.0,291,29
Roberta Silva Ratzke,/en/competition/teams/bra-brazil/players/roberta-silva-ratzke?id=69438,28/04/1990,30,185,71,287.0,278,28
Gabriela Braga Guimaraes,/en/competition/teams/bra-brazil/players/gabriela-braga-guimaraes?id=69450,19/05/1994,26,180,65,305.0,289,24
Claudia Bueno Da Silva,/en/competition/teams/bra-brazil/players/claudia-bueno-da-silva?id=69446,21/09/1987,33,181,80,290.0,266,31
Natalia Pereira,/en/competition/teams/bra-brazil/players/natalia-pereira?id=69436,04/04/1989,31,186,83,311.0,295,29
Amanda Francisco,/en/competition/teams/bra-brazil/players/amanda-francisco?id=69449,16/08/1988,32,180,62,304.0,286,30
Drussyla Costa,/en/competition/teams/bra-brazil/players/drussyla-costa?id=69431,01/07/1996,24,182,73,304.0,286,22
Monique Marinho Pavao,/en/competition/teams/bra-brazil/players/monique-marinho-pavao?id=69434,31/10/1986,34,178,67,294.0,285,32
Fernanda Rodrigues,/en/competition/teams/bra-brazil/players/fernanda-rodrigues?id=69445,10/05/1986,34,179,74,308.0,288,32
Suelen Pinto,/en/competition/teams/bra-brazil/players/suelen-pinto?id=69437,04/10/1987,33,166,81,256.0,238,31
Natália Araujo,/en/competition/teams/bra-brazil/players/nat%c3%a1lia-araujo?id=69439,10/04/1997,23,162,59,228.0,215,21
Tandara Caixeta,/en/competition/teams/bra-brazil/players/tandara-caixeta?id=69440,30/10/1988,32,184,87,305.0,297,30
Ana Beatriz Correa,/en/competition/teams/bra-brazil/players/ana-beatriz-correa?id=69430,07/02/1992,28,187,70,298.0,292,26
Mariana Costa,/en/competition/teams/bra-brazil/players/mariana-costa?id=69432,30/07/1986,34,181,73,295.0,283,32
Macris Fernanda Silva Carneiro,/en/competition/teams/bra-brazil/players/macris-fernanda-silva-carneiro?id=69441,03/03/1989,31,178,64,292.0,275,29
Annerys Victoria Vargas Valdez,/en/competition/teams/dom-dominican%20republic/players/annerys-victoria-vargas-valdez?id=68415,07/08/1981,39,196,70,327.0,320,37
Lisvel Elisa Eve Mejia,/en/competition/teams/dom-dominican%20republic/players/lisvel-elisa-eve-mejia?id=68399,10/09/1991,29,194,70,325.0,315,27
Marianne Fersola Norberto,/en/competition/teams/dom-dominican%20republic/players/marianne-fersola-norberto?id=68400,16/01/1992,28,191,60,315.0,310,26
Brenda Castillo,/en/competition/teams/dom-dominican%20republic/players/brenda-castillo?id=68396,05/06/1992,28,167,55,245.0,230,26
Camil Inmaculada Dominguez Martinez,/en/competition/teams/dom-dominican%20republic/players/camil-inmaculada-dominguez-martinez?id=68398,07/12/1991,29,176,75,285.0,270,27
Niverka Dharlenis Marte Frica,/en/competition/teams/dom-dominican%20republic/players/niverka-dharlenis-marte-frica?id=68404,19/10/1990,30,178,71,295.0,283,28
Candida Estefany Arias Perez,/en/competition/teams/dom-dominican%20republic/players/candida-estefany-arias-perez?id=68394,11/03/1992,28,194,68,320.0,315,26
Natalia Martinez,/en/competition/teams/dom-dominican%20republic/players/natalia-martinez?id=68407,25/11/2000,20,186,71,310.0,300,18
Marifranchi Rodriguez,/en/competition/teams/dom-dominican%20republic/players/marifranchi-rodriguez?id=68413,29/08/1990,30,184,68,310.0,300,28
Yokaty Perez Flores,/en/competition/teams/dom-dominican%20republic/players/yokaty-perez-flores?id=68411,06/08/1998,22,178,79,291.0,257,20
Madeline Jazmin Guillen Paredes,/en/competition/teams/dom-dominican%20republic/players/madeline-jazmin-guillen-paredes?id=68402,04/06/2001,19,186,74,273.0,242,17
Prisilla Rivera Brens,/en/competition/teams/dom-dominican%20republic/players/prisilla-rivera-brens?id=68412,29/12/1984,36,183,67,309.0,305,34
Yonkaira Paola Peña Isabel,/en/competition/teams/dom-dominican%20republic/players/yonkaira-paola-pe%c3%b1a-isabel?id=68409,10/05/1993,27,190,70,320.0,310,25
Gina Altagracia Mambru Casilla,/en/competition/teams/dom-dominican%20republic/players/gina-altagracia-mambru-casilla?id=68403,21/01/1986,34,182,65,330.0,315,32
Bethania De La Cruz De Peña,/en/competition/teams/dom-dominican%20republic/players/bethania-de-la-cruz-de-pe%c3%b1a?id=68397,13/05/1987,33,188,70,330.0,320,31
Ana Yorkira Binet Stephens,/en/competition/teams/dom-dominican%20republic/players/ana-yorkira-binet-stephens?id=68395,09/02/1992,28,174,58,280.0,260,26
Brayelin Elizabeth Martinez,/en/competition/teams/dom-dominican%20republic/players/brayelin-elizabeth-martinez?id=68405,11/09/1996,24,201,83,330.0,320,22
Jineiry Martinez,/en/competition/teams/dom-dominican%20republic/players/jineiry-martinez?id=68406,03/12/1997,23,190,68,305.0,280,21
Yaneirys Rodriguez Duran,/en/competition/teams/dom-dominican%20republic/players/yaneirys-rodriguez-duran?id=68414,26/06/2000,20,171,56,280.0,251,18
Gaila Ceneida Gonzalez Lopez,/en/competition/teams/dom-dominican%20republic/players/gaila-ceneida-gonzalez-lopez?id=68401,25/06/1997,23,188,73,304.0,276,21
Vielka Michelle Peralta Luna,/en/competition/teams/dom-dominican%20republic/players/vielka-michelle-peralta-luna?id=68410,13/04/1999,21,186,56,310.0,305,19
Larysmer Martinez Caro,/en/competition/teams/dom-dominican%20republic/players/larysmer-martinez-caro?id=68408,18/10/1996,24,174,68,288.0,258,22
Tatyana Fendrikova,/en/competition/teams/kaz-kazakhstan/players/tatyana-fendrikova?id=68482,23/02/1990,30,169,55,280.0,275,28
Sana Anarkulova,/en/competition/teams/kaz-kazakhstan/players/sana-anarkulova?id=68475,21/07/1989,31,188,77,300.0,280,29
Yekaterina Zhdanova,/en/competition/teams/kaz-kazakhstan/players/yekaterina-zhdanova?id=68494,28/05/1992,28,183,65,280.0,270,26
Marina Storozhenko,/en/competition/teams/kaz-kazakhstan/players/marina-storozhenko?id=68489,06/06/1985,35,175,57,290.0,280,33
Natalya Akilova,/en/competition/teams/kaz-kazakhstan/players/natalya-akilova?id=68473,31/05/1993,27,183,62,295.0,275,25
Inna Yakovleva,/en/competition/teams/kaz-kazakhstan/players/inna-yakovleva?id=68493,04/03/1988,32,177,65,208.0,217,30
Korinna Ishimtseva,/en/competition/teams/kaz-kazakhstan/players/korinna-ishimtseva?id=68483,08/02/1984,36,187,69,300.0,290,34
Olga Drobyshevskaya,/en/competition/teams/kaz-kazakhstan/players/olga-drobyshevskaya?id=68481,22/09/1985,35,185,75,305.0,293,33
Aliya Sadykova,/en/competition/teams/kaz-kazakhstan/players/aliya-sadykova?id=68487,01/08/1988,32,174,63,293.0,281,30
Katerina Tatko,/en/competition/teams/kaz-kazakhstan/players/katerina-tatko?id=68491,15/12/1992,28,182,70,285.0,275,26
Yana Petrenko,/en/competition/teams/kaz-kazakhstan/players/yana-petrenko?id=68485,30/07/1990,30,181,71,297.0,265,28
Radmila Beresneva,/en/competition/teams/kaz-kazakhstan/players/radmila-beresneva?id=68479,06/06/1983,37,185,70,300.0,295,35
Alessya Safronova,/en/competition/teams/kaz-kazakhstan/players/alessya-safronova?id=68488,10/02/1986,34,192,70,290.0,280,32
Aliya Batkuldina,/en/competition/teams/kaz-kazakhstan/players/aliya-batkuldina?id=68477,18/11/1995,25,181,74,273.0,264,23
Yekaterina Razorenkova,/en/competition/teams/kaz-kazakhstan/players/yekaterina-razorenkova?id=68486,03/06/1993,27,185,69,283.0,280,25
Alla Bogdashkina,/en/competition/teams/kaz-kazakhstan/players/alla-bogdashkina?id=68480,22/08/1985,35,185,65,275.0,270,33
Kristina Anikonova,/en/competition/teams/kaz-kazakhstan/players/kristina-anikonova?id=68476,05/01/1991,29,183,73,295.0,285,27
Kristina Belova,/en/competition/teams/kaz-kazakhstan/players/kristina-belova?id=68478,29/11/1998,22,182,72,244.0,285,20
Sabina Altynbekova,/en/competition/teams/kaz-kazakhstan/players/sabina-altynbekova?id=68474,05/11/1996,24,182,59,280.0,269,22
Zhanna Syroeshkina,/en/competition/teams/kaz-kazakhstan/players/zhanna-syroeshkina?id=68490,04/06/1999,21,182,77,244.0,232,19
Yana Yagodina,/en/competition/teams/kaz-kazakhstan/players/yana-yagodina?id=68492,24/01/1993,27,182,69,300.0,285,25
Kristina Karapetan,/en/competition/teams/kaz-kazakhstan/players/kristina-karapetan?id=68484,03/08/1992,28,185,73,280.0,272,26
Jane Wacu Wairimu,/en/competition/teams/ken-kenya/players/jane-wacu-wairimu?id=69029,24/03/1985,35,175,60,299.0,286,33
Christine Psiwa,/en/competition/teams/ken-kenya/players/christine-psiwa?id=69028,01/04/1992,28,175,62,301.0,298,26
Violet Makuto,/en/competition/teams/ken-kenya/players/violet-makuto?id=69037,20/05/1993,27,167,65,298.0,290,25
Leonida Kasaya,/en/competition/teams/ken-kenya/players/leonida-kasaya?id=69024,10/10/1993,27,168,67,297.0,292,25
Sharon Chepchumba Kiprono,/en/competition/teams/ken-kenya/players/sharon-chepchumba-kiprono?id=69033,26/10/1998,22,183,82,293.0,281,20
Joy Lusenaka,/en/competition/teams/ken-kenya/players/joy-lusenaka?id=69142,25/02/1991,29,180,62,302.0,290,27
Janet Wanja,/en/competition/teams/ken-kenya/players/janet-wanja?id=69030,24/02/1984,36,175,59,299.0,287,34
Trizah Atuka,/en/competition/teams/ken-kenya/players/trizah-atuka?id=69023,14/04/1992,28,188,65,298.0,293,26
Elizabeth Wanyama,/en/competition/teams/ken-kenya/players/elizabeth-wanyama?id=69031,27/05/1987,33,174,68,270.0,260,31
Noel Murambi,/en/competition/teams/ken-kenya/players/noel-murambi?id=69035,29/01/1989,31,178,68,302.0,297,29
Celestine Nafula,/en/competition/teams/ken-kenya/players/celestine-nafula?id=69146,09/07/1996,24,150,52,255.0,200,22
Pamela Jepkirui,/en/competition/teams/ken-kenya/players/pamela-jepkirui?id=69145,08/02/1996,24,175,69,260.0,233,22
Naomie Too,/en/competition/teams/ken-kenya/players/naomie-too?id=69149,24/04/1992,28,184,75,293.0,290,26
Mercy Moim,/en/competition/teams/ken-kenya/players/mercy-moim?id=69026,01/01/1989,31,183,72,320.0,308,29
Lorine Chebet Kaei,/en/competition/teams/ken-kenya/players/lorine-chebet-kaei?id=69032,08/10/1999,21,179,69,285.0,270,19
Agripina Kundu,/en/competition/teams/ken-kenya/players/agripina-kundu?id=69025,24/04/1993,27,165,66,294.0,288,25
Gaudencia Makokha,/en/competition/teams/ken-kenya/players/gaudencia-makokha?id=69143,15/11/1992,28,187,68,280.0,270,26
Emmaculate Chemtai,/en/competition/teams/ken-kenya/players/emmaculate-chemtai?id=69036,14/10/1993,27,180,68,300.0,285,25
Edith Mukuvilani,/en/competition/teams/ken-kenya/players/edith-mukuvilani?id=69027,20/07/1994,26,184,72,298.0,292,24
Everlyne Makuto,/en/competition/teams/ken-kenya/players/everlyne-makuto?id=69144,25/08/1990,30,181,64,328.0,308,28
Nancy Mulonza,/en/competition/teams/ken-kenya/players/nancy-mulonza?id=69148,29/03/1983,37,175,68,280.0,287,35
Carolyne Sirengo,/en/competition/teams/ken-kenya/players/carolyne-sirengo?id=69147,04/11/1997,23,179,70,280.0,240,21
Daly Santana,/en/competition/teams/pur-puerto%20rico/players/daly-santana?id=69110,19/02/1995,25,182,72,272.0,267,23
Shara Venegas,/en/competition/teams/pur-puerto%20rico/players/shara-venegas?id=69114,18/09/1992,28,172,58,280.0,270,26
Valeria A. Leon,/en/competition/teams/pur-puerto%20rico/players/valeria-a-leon?id=69102,21/11/1995,25,166,67,248.0,242,23
Raymariely Santos,/en/competition/teams/pur-puerto%20rico/players/raymariely-santos?id=69112,13/04/1992,28,183,72,290.0,288,26
Julymar Lorelys Otero Perez,/en/competition/teams/pur-puerto%20rico/players/julymar-lorelys-otero-perez?id=69107,31/10/1996,24,177,65,235.0,239,22
Lynda Morales,/en/competition/teams/pur-puerto%20rico/players/lynda-morales?id=69103,20/05/1988,32,188,74,302.0,296,30
Stephanie Enright,/en/competition/teams/pur-puerto%20rico/players/stephanie-enright?id=69098,15/12/1990,30,179,56,300.0,292,28
Jennifer Nogueras,/en/competition/teams/pur-puerto%20rico/players/jennifer-nogueras?id=69104,01/08/1991,29,185,88,299.0,292,27
Aurea Cruz,/en/competition/teams/pur-puerto%20rico/players/aurea-cruz?id=69097,10/01/1982,38,180,63,310.0,290,36
Jennifer Quesada,/en/competition/teams/pur-puerto%20rico/players/jennifer-quesada?id=69108,22/02/1992,28,188,71,299.0,295,26
Karina Ocasio,/en/competition/teams/pur-puerto%20rico/players/karina-ocasio?id=69105,01/08/1985,35,192,76,298.0,288,33
Neira Ortiz,/en/competition/teams/pur-puerto%20rico/players/neira-ortiz?id=69118,06/07/1993,27,192,68,262.0,256,25
Shirley Ferrer,/en/competition/teams/pur-puerto%20rico/players/shirley-ferrer?id=69099,23/06/1991,29,180,63,290.0,293,27
Natalia Valentin,/en/competition/teams/pur-puerto%20rico/players/natalia-valentin?id=69113,12/09/1989,31,170,61,244.0,240,29
Jenselyn Morales,/en/competition/teams/pur-puerto%20rico/players/jenselyn-morales?id=69174,07/06/1999,21,183,63,247.0,242,19
Noami Santos,/en/competition/teams/pur-puerto%20rico/players/noami-santos?id=69111,29/11/1993,27,192,63,309.0,300,25
Alba Hernandez,/en/competition/teams/pur-puerto%20rico/players/alba-hernandez?id=69100,03/10/1994,26,207,87,305.0,293,24
Ana Sofia Jusino,/en/competition/teams/pur-puerto%20rico/players/ana-sofia-jusino?id=69101,05/01/1994,26,189,65,310.0,294,24
Sofia Victoria,/en/competition/teams/pur-puerto%20rico/players/sofia-victoria?id=69116,03/05/2002,18,180,69,284.0,279,16
Pilar Marie Victoria,/en/competition/teams/pur-puerto%20rico/players/pilar-marie-victoria?id=69115,11/10/1995,25,182,53,301.0,268,23
Adriana Vinas Joy,/en/competition/teams/pur-puerto%20rico/players/adriana-vinas-joy?id=69117,01/03/1994,26,178,74,245.0,237,24
Diana Reyes,/en/competition/teams/pur-puerto%20rico/players/diana-reyes?id=69109,29/04/1993,27,191,80,303.0,299,25
Bianka Busa,/en/competition/teams/srb-serbia/players/bianka-busa?id=69350,25/07/1994,26,187,74,312.0,298,24
Katarina Lazovic,/en/competition/teams/srb-serbia/players/katarina-lazovic?id=69353,12/09/1999,21,182,65,290.0,277,19
Sanja Malagurski,/en/competition/teams/srb-serbia/players/sanja-malagurski?id=69355,08/06/1990,30,193,74,305.0,295,28
Bojana Drca,/en/competition/teams/srb-serbia/players/bojana-drca?id=69367,29/03/1988,32,186,70,298.0,283,30
Maja Savic,/en/competition/teams/srb-serbia/players/maja-savic?id=69364,14/08/1993,27,189,70,305.0,295,25
Tijana Malesevic,/en/competition/teams/srb-serbia/players/tijana-malesevic?id=69356,18/03/1991,29,185,78,300.0,286,27
Ana Antonijevic,/en/competition/teams/srb-serbia/players/ana-antonijevic?id=69347,26/08/1987,33,185,71,282.0,269,31
Sladjana Mirkovic,/en/competition/teams/srb-serbia/players/sladjana-mirkovic?id=69359,07/10/1995,25,185,78,293.0,283,23
Brankica Mihajlovic,/en/competition/teams/srb-serbia/players/brankica-mihajlovic?id=69357,13/04/1991,29,190,83,302.0,290,27
Maja Ognjenovic,/en/competition/teams/srb-serbia/players/maja-ognjenovic?id=69360,06/08/1984,36,183,67,300.0,293,34
Stefana Veljkovic,/en/competition/teams/srb-serbia/players/stefana-veljkovic?id=69366,09/01/1990,30,190,76,325.0,310,28
Teodora Pusic,/en/competition/teams/srb-serbia/players/teodora-pusic?id=69362,12/03/1993,27,170,58,270.0,260,25
Ana Bjelica,/en/competition/teams/srb-serbia/players/ana-bjelica?id=69348,03/04/1992,28,190,78,310.0,305,26
Maja Aleksic,/en/competition/teams/srb-serbia/players/maja-aleksic?id=69346,06/06/1997,23,188,72,302.0,289,21
Jovana Stevanovic,/en/competition/teams/srb-serbia/players/jovana-stevanovic?id=69365,30/06/1992,28,192,72,308.0,295,26
